name,macOS_15_x86_64,macOS_15_arm64e,macOS_26_report
"FMLDevice",yes,yes,yes
"FMLFriend",yes,yes,yes
"FMLHandle",yes,yes,yes
"FMLLocation",yes,yes,yes
"FMLPlaceMark",yes,yes,yes
"FindMyLocateSession",yes,yes,yes
"cachedFriendsSharingLocationWithMe",yes,yes,yes
"cachedFriendsSharingLocationsWithMe",yes,yes,yes
"cachedLocationForHandle:includeAddress:",yes,yes,yes
"cachedLocationFor:includeAddress:",yes,yes,yes
"startRefreshingLocationForHandles:priority:isFromGroup:completion:",yes,yes,yes
"startRefreshingLocationForHandles:priority:isFromGroup:reverseGeocode:completion:",yes,yes,yes
"stopRefreshingLocationForHandles:priority:isFromGroup:completion:",yes,yes,yes
"getActiveLocationSharingDeviceWithCompletion:",yes,yes,yes
"setActiveLocationSharingDevice:completion:",yes,yes,yes
"canShareLocationWithHandle:isFromGroup:completion:",yes,yes,yes
"friendshipStateWithHandle:isFromGroup:completion:",yes,yes,yes
